School Name,District,Total Enrollment (Final)
Maynard High School,MAYNARD SCHOOL DISTRICT,214
Alma Spikes Elementary School,POCAHONTAS SCHOOL DISTRICT,490
Pocahontas High School,POCAHONTAS SCHOOL DISTRICT,412
Pocahontas Upper Elem. School,POCAHONTAS SCHOOL DISTRICT,572
Pocahontas Junior High School,POCAHONTAS SCHOOL DISTRICT,457
Central Elementary School,FORREST CITY SCHOOL DISTRICT,599
Forrest City Jr. High,FORREST CITY SCHOOL DISTRICT,341
Forrest City High School,FORREST CITY SCHOOL DISTRICT,692
Stewart Elementary School,FORREST CITY SCHOOL DISTRICT,540
Lincoln Academy,FORREST CITY SCHOOL DISTRICT,130
Palestine-Wheatley Elem. Sch.,PALESTINE-WHEATLEY SCH. DIST.,386
Palestine-Wheatley Senior High,PALESTINE-WHEATLEY SCH. DIST.,380
Pine Haven Elementary School,BAUXITE SCHOOL DISTRICT,721
Bauxite High School,BAUXITE SCHOOL DISTRICT,454
Bauxite Middle School,BAUXITE SCHOOL DISTRICT,386
Miner Academy,BAUXITE SCHOOL DISTRICT,60
Caldwell Elementary School,BENTON SCHOOL DISTRICT,582
Angie Grant Elementary School,BENTON SCHOOL DISTRICT,596
Perrin Elementary School,BENTON SCHOOL DISTRICT,658
Ringgold Elementary School,BENTON SCHOOL DISTRICT,565
Benton Junior High School,BENTON SCHOOL DISTRICT,773
Benton Middle School,BENTON SCHOOL DISTRICT,839
Benton High School,BENTON SCHOOL DISTRICT,1069
Hill Farm Elementary School,BRYANT SCHOOL DISTRICT,583
Bryant Elementary School,BRYANT SCHOOL DISTRICT,784
Bryant High School,BRYANT SCHOOL DISTRICT,2646
Salem Elementary School,BRYANT SCHOOL DISTRICT,593
Robert L. Davis Elem. School,BRYANT SCHOOL DISTRICT,570
Springhill Elementary School,BRYANT SCHOOL DISTRICT,625
Bryant Middle School,BRYANT SCHOOL DISTRICT,1163
Collegeville Elementary School,BRYANT SCHOOL DISTRICT,571
Bethel Middle School,BRYANT SCHOOL DISTRICT,918
Hurricane Creek Elementary,BRYANT SCHOOL DISTRICT,592
Westbrook Elementary School,HARMONY GROVE SCH DIST(SALINE),382
Harmony Grove High School,HARMONY GROVE SCH DIST(SALINE),305
Harmony Grove Middle School,HARMONY GROVE SCH DIST(SALINE),267
Harmony Grove Junior High School,HARMONY GROVE SCH DIST(SALINE),287
Waldron Elementary School,WALDRON SCHOOL DISTRICT,570
Waldron High School,WALDRON SCHOOL DISTRICT,410
Waldron Middle School,WALDRON SCHOOL DISTRICT,449
Leslie Intermediate School,SEARCY COUNTY SCHOOL DISTRICT,190
Marshall Elementary School,SEARCY COUNTY SCHOOL DISTRICT,242
Marshall High School,SEARCY COUNTY SCHOOL DISTRICT,392
St. Joe Elementary School,OZARK MOUNTAIN SCHOOL DISTRICT,87
St. Joe High School,OZARK MOUNTAIN SCHOOL DISTRICT,77
Bruno-Pyatt High School,OZARK MOUNTAIN SCHOOL DISTRICT,98
Bruno-Pyatt Elementary School,OZARK MOUNTAIN SCHOOL DISTRICT,108
Western Grove Elem. School,OZARK MOUNTAIN SCHOOL DISTRICT,136
Western Grove High School,OZARK MOUNTAIN SCHOOL DISTRICT,122
Ballman Elementary School,FORT SMITH SCHOOL DISTRICT,300
Barling Elementary School,FORT SMITH SCHOOL DISTRICT,390
Beard Elementary School,FORT SMITH SCHOOL DISTRICT,324
Belle Point Alternative Center,FORT SMITH SCHOOL DISTRICT,74
Bonneville Elementary School,FORT SMITH SCHOOL DISTRICT,339
Carnall Elementary School,FORT SMITH SCHOOL DISTRICT,270
Cavanaugh Elementary School,FORT SMITH SCHOOL DISTRICT,289
Fairview Elementary School,FORT SMITH SCHOOL DISTRICT,569
Howard Elementary School,FORT SMITH SCHOOL DISTRICT,333
Raymond F. Orr Elem. School,FORT SMITH SCHOOL DISTRICT,377
Albert Pike Elementary School,FORT SMITH SCHOOL DISTRICT,461
Spradling Elementary School,FORT SMITH SCHOOL DISTRICT,444
Sunnymede Elementary School,FORT SMITH SCHOOL DISTRICT,626
Sutton Elementary School,FORT SMITH SCHOOL DISTRICT,493
Trusty Elementary School,FORT SMITH SCHOOL DISTRICT,333
L. A. Chaffin Jr. High School,FORT SMITH SCHOOL DISTRICT,773
William O. Darby Jr. High Sch.,FORT SMITH SCHOOL DISTRICT,669
Dora Kimmons Jr. High School,FORT SMITH SCHOOL DISTRICT,802
Ramsey Junior High School,FORT SMITH SCHOOL DISTRICT,890
Northside High School,FORT SMITH SCHOOL DISTRICT,1609
Southside High School,FORT SMITH SCHOOL DISTRICT,1532
John P. Woods Elementary School,FORT SMITH SCHOOL DISTRICT,539
Harry C. Morrison Elementary School,FORT SMITH SCHOOL DISTRICT,293
Elmer H. Cook Elementary School,FORT SMITH SCHOOL DISTRICT,549
Tilles Elementary School,FORT SMITH SCHOOL DISTRICT,379
Euper Lane Elementary School,FORT SMITH SCHOOL DISTRICT,469
Greenwood Junior High School,GREENWOOD SCHOOL DISTRICT,576
Greenwood High School,GREENWOOD SCHOOL DISTRICT,876
Westwood Elementary School,GREENWOOD SCHOOL DISTRICT,749
East Hills Middle School,GREENWOOD SCHOOL DISTRICT,556
East Pointe Elementary School,GREENWOOD SCHOOL DISTRICT,640
Greenwood Freshman Center,GREENWOOD SCHOOL DISTRICT,296
Hackett Elementary School,HACKETT SCHOOL DISTRICT,283
Hackett High School,HACKETT SCHOOL DISTRICT,291
Hartford Elementary School,HACKETT SCHOOL DISTRICT,99
Hartford High School,HACKETT SCHOOL DISTRICT,124
Lavaca Elementary School,LAVACA SCHOOL DISTRICT,331
Lavaca High School,LAVACA SCHOOL DISTRICT,225
Lavaca Middle School,LAVACA SCHOOL DISTRICT,267
Mansfield Elementary School,MANSFIELD SCHOOL DISTRICT,266
Mansfield Middle School,MANSFIELD SCHOOL DISTRICT,252
Mansfield High School,MANSFIELD SCHOOL DISTRICT,251
Furture School of Fort Smith,FUTURE SCHOOL OF FORT SMITH,74
Dequeen Elementary School,DEQUEEN SCHOOL DISTRICT,570
Dequeen Primary,DEQUEEN SCHOOL DISTRICT,620
Dequeen High School,DEQUEEN SCHOOL DISTRICT,474
Dequeen Middle School,DEQUEEN SCHOOL DISTRICT,332
Dequeen Junior High School,DEQUEEN SCHOOL DISTRICT,370
Horatio Elementary School,HORATIO SCHOOL DISTRICT,454
Horatio High School,HORATIO SCHOOL DISTRICT,388
Cave City Elementary School,CAVE CITY SCHOOL DISTRICT,526
Cave City Middle School,CAVE CITY SCHOOL DISTRICT,307
Cave City High Career & Collegiate Preparatory School,CAVE CITY SCHOOL DISTRICT,397
Cherokee Elementary School,HIGHLAND SCHOOL DISTRICT,625
Highland High School,HIGHLAND SCHOOL DISTRICT,486
Highland Middle School,HIGHLAND SCHOOL DISTRICT,515
Mountain View Elem. School,MOUNTAIN VIEW SCHOOL DISTRICT,488
Mountain View Middle School,MOUNTAIN VIEW SCHOOL DISTRICT,392
Mountain View High School,MOUNTAIN VIEW SCHOOL DISTRICT,339
Rural Special Elem. School,MOUNTAIN VIEW SCHOOL DISTRICT,117
Rural Special High School,MOUNTAIN VIEW SCHOOL DISTRICT,113
Timbo Elementary School,MOUNTAIN VIEW SCHOOL DISTRICT,102
Timbo High School,MOUNTAIN VIEW SCHOOL DISTRICT,87
Hugh Goodwin Elementary School,EL DORADO SCHOOL DISTRICT,475
Northwest Elementary School,EL DORADO SCHOOL DISTRICT,483
Retta Brown Elementary School,EL DORADO SCHOOL DISTRICT,210
Yocum Elementary School,EL DORADO SCHOOL DISTRICT,600
Barton Jr. High School,EL DORADO SCHOOL DISTRICT,660
Washington Middle School,EL DORADO SCHOOL DISTRICT,654
El Dorado High School,EL DORADO SCHOOL DISTRICT,1289
Junction City Elem. School,JUNCTION CITY SCHOOL DISTRICT,335
Junction City High School,JUNCTION CITY SCHOOL DISTRICT,335
Parkers Chapel Elem. School,PARKERS CHAPEL SCHOOL DIST.,444
Parkers Chapel High School,PARKERS CHAPEL SCHOOL DIST.,344
Norphlet Elementary School,SMACKOVER-NORPHLET SCHOOL DISTRICT,188
Norphlet Middle School,SMACKOVER-NORPHLET SCHOOL DISTRICT,246
Smackover Elementary School,SMACKOVER-NORPHLET SCHOOL DISTRICT,333
Smackover High School,SMACKOVER-NORPHLET SCHOOL DISTRICT,351
Gardner-Strong Elem. School,STRONG-HUTTIG SCHOOL DISTRICT,159
Strong High School,STRONG-HUTTIG SCHOOL DISTRICT,137
Clinton Elementary School,CLINTON SCHOOL DISTRICT,608
Clinton High School,CLINTON SCHOOL DISTRICT,394
Clinton Jr High School,CLINTON SCHOOL DISTRICT,323
Shirley Elementary School,SHIRLEY SCHOOL DISTRICT,198
Shirley High School,SHIRLEY SCHOOL DISTRICT,174
South Side Elementary School,SOUTH SIDE SCHOOL DISTRICT(VANBUREN),253
South Side High School,SOUTH SIDE SCHOOL DISTRICT(VANBUREN),255
Elkins Elementary School,ELKINS SCHOOL DISTRICT,252
Elkins High School,ELKINS SCHOOL DISTRICT,393
Elkins Middle School,ELKINS SCHOOL DISTRICT,282
Elkins Elem. Primary School,ELKINS SCHOOL DISTRICT,238
George R Ledbetter Intermediat,FARMINGTON SCHOOL DISTRICT,386
Randall G. Lynch Middle School,FARMINGTON SCHOOL DISTRICT,576
"Jerry ""pop"" Williams Elem Sch",FARMINGTON SCHOOL DISTRICT,388
Bob Folsom Elementary School,FARMINGTON SCHOOL DISTRICT,350
Farmington Freshman Academy,FARMINGTON SCHOOL DISTRICT,199
Farmington Career Academies,FARMINGTON SCHOOL DISTRICT,532
Asbell Elementary School,FAYETTEVILLE SCHOOL DISTRICT,293
Butterfield Elementary School,FAYETTEVILLE SCHOOL DISTRICT,515
Happy Hollow Elementary School,FAYETTEVILLE SCHOOL DISTRICT,475
Leverett Elementary School,FAYETTEVILLE SCHOOL DISTRICT,291
Root Elementary School,FAYETTEVILLE SCHOOL DISTRICT,414
Washington Elementary School,FAYETTEVILLE SCHOOL DISTRICT,325
Ramay Junior High School,FAYETTEVILLE SCHOOL DISTRICT,623
Woodland Junior High School,FAYETTEVILLE SCHOOL DISTRICT,760
Fayetteville High School,FAYETTEVILLE SCHOOL DISTRICT,2766
Holcomb Elementary School,FAYETTEVILLE SCHOOL DISTRICT,628
Vandergriff Elementary School,FAYETTEVILLE SCHOOL DISTRICT,624
McNair Middle School,FAYETTEVILLE SCHOOL DISTRICT,757
Holt Middle School,FAYETTEVILLE SCHOOL DISTRICT,439
Owl Creek School,FAYETTEVILLE SCHOOL DISTRICT,721
Fayetteville Virtual Academy A District Conversion Charter School,FAYETTEVILLE SCHOOL DISTRICT,53
Greenland Elementary School,GREENLAND SCHOOL DISTRICT,295
Greenland High School,GREENLAND SCHOOL DISTRICT,264
Greenland Middle School,GREENLAND SCHOOL DISTRICT,236
Lincoln Elementary School,LINCOLN SCHOOL DISTRICT,313
Lincoln Middle School,LINCOLN SCHOOL DISTRICT,386
Lincoln New Tech High School,LINCOLN SCHOOL DISTRICT,480
Prairie Grove Elementary School,PRAIRIE GROVE SCHOOL DISTRICT,695
Prairie Grove High School,PRAIRIE GROVE SCHOOL DISTRICT,594
Prairie Grove Middle School,PRAIRIE GROVE SCHOOL DISTRICT,583
Elmdale Elementary School,SPRINGDALE SCHOOL DISTRICT,562
Jones Elementary School,SPRINGDALE SCHOOL DISTRICT,539
Robert E. Lee Elem. School,SPRINGDALE SCHOOL DISTRICT,505
John Tyson Elementary School,SPRINGDALE SCHOOL DISTRICT,544
Westwood Elementary School,SPRINGDALE SCHOOL DISTRICT,512
Central Junior High School,SPRINGDALE SCHOOL DISTRICT,924
Southwest Junior High School,SPRINGDALE SCHOOL DISTRICT,619
Springdale High School,SPRINGDALE SCHOOL DISTRICT,2067
Parson  Hills Elem. School,SPRINGDALE SCHOOL DISTRICT,557
Thurman G. Smith Elem. School,SPRINGDALE SCHOOL DISTRICT,633
Walker Elementary School,SPRINGDALE SCHOOL DISTRICT,563
George Elementary School,SPRINGDALE SCHOOL DISTRICT,617
J. O. Kelly Middle School,SPRINGDALE SCHOOL DISTRICT,694
Helen Tyson Middle School,SPRINGDALE SCHOOL DISTRICT,756
Bernice Young Elementary,SPRINGDALE SCHOOL DISTRICT,531
Harp Elementary School,SPRINGDALE SCHOOL DISTRICT,549
Bayyari Elementary School,SPRINGDALE SCHOOL DISTRICT,616
George Junior High School,SPRINGDALE SCHOOL DISTRICT,744
Hellstern Middle School,SPRINGDALE SCHOOL DISTRICT,996
Har-Ber High School,SPRINGDALE SCHOOL DISTRICT,2228
Hunt Elementary School,SPRINGDALE SCHOOL DISTRICT,611
Turnbow Elementary School,SPRINGDALE SCHOOL DISTRICT,599
Monitor Elementary,SPRINGDALE SCHOOL DISTRICT,652
Willis Shaw Elementary Sch,SPRINGDALE SCHOOL DISTRICT,603
Sonora Elementary School,SPRINGDALE SCHOOL DISTRICT,594
Sonora Middle School,SPRINGDALE SCHOOL DISTRICT,834
Lakeside Junior High School,SPRINGDALE SCHOOL DISTRICT,697
Linda Knapp-Childers Elementary School,SPRINGDALE SCHOOL DISTRICT,616
Springdale School of Innovation,SPRINGDALE SCHOOL DISTRICT,493
West Fork Elementary School,WEST FORK SCHOOL DISTRICT,387
West Fork Middle School,WEST FORK SCHOOL DISTRICT,338
West Fork High School,WEST FORK SCHOOL DISTRICT,330
Haas Hall Academy,HAAS HALL ACADEMY,345
Ozark Montessori Academy Springdale,OZARK MONTESSORI ACADEMY SPRINGDALE,182
H.L. Lubker Elementary School,BALD KNOB SCHOOL DISTRICT,517
Bald Knob High School,BALD KNOB SCHOOL DISTRICT,398
Bald Knob Middle School,BALD KNOB SCHOOL DISTRICT,278
Beebe Elementary School,BEEBE SCHOOL DISTRICT,796
Beebe Junior High School,BEEBE SCHOOL DISTRICT,532
Beebe High School,BEEBE SCHOOL DISTRICT,883
Beebe Middle School,BEEBE SCHOOL DISTRICT,490
Beebe Early Childhood,BEEBE SCHOOL DISTRICT,484
Badger Academy,BEEBE SCHOOL DISTRICT,45
Bradford Elementary School,BRADFORD SCHOOL DISTRICT,239
Bradford High School,BRADFORD SCHOOL DISTRICT,190
White Co. Central Elem. School,WHITE CO. CENTRAL SCHOOL DIST.,391
White Co. Central High School,WHITE CO. CENTRAL SCHOOL DIST.,321
Judsonia Elementary School,RIVERVIEW SCHOOL DISTRICT,365
Kensett Elementary School,RIVERVIEW SCHOOL DISTRICT,356
Riverview High School,RIVERVIEW SCHOOL DISTRICT,372
Riverview Junior High School,RIVERVIEW SCHOOL DISTRICT,179
Pangburn Elementary School,PANGBURN SCHOOL DISTRICT,375
Pangburn High School,PANGBURN SCHOOL DISTRICT,349
Rose Bud Elementary School,ROSE BUD SCHOOL DISTRICT,405
Rose Bud High School,ROSE BUD SCHOOL DISTRICT,395
Sidney Deener Elem. School,SEARCY SCHOOL DISTRICT,354
McRae Elementary School,SEARCY SCHOOL DISTRICT,507
Ahlf Junior High School,SEARCY SCHOOL DISTRICT,565
Searcy High School,SEARCY SCHOOL DISTRICT,1156
Westside Elementary School,SEARCY SCHOOL DISTRICT,507
Southwest Middle School,SEARCY SCHOOL DISTRICT,918
Augusta Elementary School,AUGUSTA SCHOOL DISTRICT,204
Augusta High School,AUGUSTA SCHOOL DISTRICT,154
McCrory Elementary School,MCCRORY SCHOOL DISTRICT,346
McCrory High School,MCCRORY SCHOOL DISTRICT,286
S.C. Tucker Elementary School,DANVILLE SCHOOL DISTRICT,302
Danville High School,DANVILLE SCHOOL DISTRICT,264
Danville Middle School,DANVILLE SCHOOL DISTRICT,261
Dardanelle Intermediate School,DARDANELLE SCHOOL DISTRICT,350
Dardanelle Middle School,DARDANELLE SCHOOL DISTRICT,455
Dardanelle High School,DARDANELLE SCHOOL DISTRICT,555
Dardanelle Primary School,DARDANELLE SCHOOL DISTRICT,724
Western Yell Co. Elem. School,WESTERN YELL CO. SCHOOL DIST.,185
Western Yell Co. High School,WESTERN YELL CO. SCHOOL DIST.,188
Two Rivers High School,TWO RIVERS SCHOOL DISTRICT,461
Two Rivers Elementary School,TWO RIVERS SCHOOL DISTRICT,344
